method,stratum,n,accuracy_at_1,accuracy_at_5,mrr_at_20,latency_mean_ms,invalid_id_rate
bm25,ALL,30,0.6,0.6333,0.6184,6.081,0.0
bm25,clinical_paraphrase,10,0.0,0.1,0.0553,10.889,0.0
bm25,official_label,10,1.0,1.0,1.0,3.558,0.0
bm25,orthographic_variation,10,0.8,0.8,0.8,3.795,0.0
exact,ALL,30,0.5667,0.5667,0.5667,0.471,0.0
exact,clinical_paraphrase,10,0.0,0.0,0.0,0.408,0.0
exact,official_label,10,1.0,1.0,1.0,0.591,0.0
exact,orthographic_variation,10,0.7,0.7,0.7,0.414,0.0
fuzzy,ALL,30,0.6667,0.6667,0.669,94.454,0.0
fuzzy,clinical_paraphrase,10,0.0,0.0,0.0071,103.588,0.0
fuzzy,official_label,10,1.0,1.0,1.0,94.842,0.0
fuzzy,orthographic_variation,10,1.0,1.0,1.0,84.931,0.0
hybrid,ALL,30,0.6667,0.7333,0.6922,67.018,0.0
hybrid,clinical_paraphrase,10,0.0,0.2,0.0767,159.51,0.0
hybrid,official_label,10,1.0,1.0,1.0,0.474,0.0
hybrid,orthographic_variation,10,1.0,1.0,1.0,41.068,0.0
semantic,ALL,30,0.4,0.6,0.4772,54.035,0.0
semantic,clinical_paraphrase,10,0.1,0.2,0.1283,60.753,0.0
semantic,official_label,10,1.0,1.0,1.0,43.038,0.0
semantic,orthographic_variation,10,0.1,0.6,0.3033,58.312,0.0
